Year,Link,Title,Director,Language,Notes,Credit
2006,wiki/Poseidon_(film),Poseidon,Wolfgang Petersen,wiki/English_language,English,Version Re-recording Mixer
2006,wiki/Gangster_(2006_film),Gangster,Anurag Basu,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,wiki/Shaadi_Se_Pehle,Shaadi Se Pehle,Satish Kaushik,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,wiki/Teesri_Aankh:_The_Hidden_Camera,Teesri Aankh: The Hidden Camera,Harry Baweja,wiki/Hindi,Hindi,Associate Re-recording Mixer
2006,Printed Rainbow,Gitanjali Rao,Short,Re-recording Mixer
2006,wiki/Pyaar_Ke_Side_Effects,Pyaar Ke Side Effects,Saket Chaudhary,wiki/Hindi,Hindi,Mixing Assistant
2006,wiki/Taxi_No._9211,Taxi No. 9 2 11: Nau Do Gyarah,Milan Luthria,wiki/Hindi,Hindi,Assistant Re-recording mixer
2006,Aisa Kyon Hota Hai?,Ajay Kanchan,wiki/Hindi,Hindi,Associate Re-recording mixer
2006,wiki/Chingaari,Chingaari,Kalpana Lajmi,wiki/Hindi,Hindi,Associate Re-recording mixer
2006,wiki/Holiday_(2006_film),Holiday,Pooja Bhatt,wiki/Hindi,Hindi,Associate Re-recording mixer
2006,wiki/Rang_De_Basanti,Rang De Basanti,Anubhav Sinha,wiki/Hindi,Hindi,Assistant Re-recording mixer
2006,wiki/Tathastu,Tathastu,Rakeysh Omprakash Mehra,wiki/Hindi,Hindi,Assistant Re-recording mixer
2005,wiki/Bluffmaster!,Bluffmaster!,Rohan Sippy,wiki/Hindi,Hindi,Sound Editor
2005,wiki/Ek_Ajnabee,Ek Ajnabee,Apoorva Lakhia,wiki/Hindi,Hindi,Associate Re-recording Mixer
2005,wiki/Kalyug_(2005_film),Kalyug,Mohit Suri,wiki/Hindi,Hindi,Associate Re-recording Mixer
2005,wiki/Ek_Khiladi_Ek_Haseena_(film),Ek Khiladi Ek Haseena,Suparn Verma,wiki/Hindi,Hindi,Associate Re-recording Mixer
2005,wiki/Being_Cyrus,Being Cyrus,Homi Adajania,wiki/English_language,English,Version Re-recording Mixer
2005,wiki/The_Legend_of_Zorro,The Legend of Zorro,Martin Campbell,wiki/English_language,English,Version Re-recording Mixer
2005,wiki/The_Blue_Umbrella_(2005_film),The Blue Umbrella,Vishal Bhardwaj,wiki/Hindi,Hindi,Associate Re-recording Mixer
2005,"wiki/Main,_Meri_Patni_Aur_Woh","Main, Meri Patni Aur Woh",Chandan Arora,wiki/Hindi,Hindi,Additional Re-recording Mixer
2005,wiki/Mangal_Pandey:_The_Rising,Mangal Pandey,Ketan Mehta,wiki/Hindi,Hindi,Assistant Sound Mix Engineer
2005,wiki/Dus,Dus,Anubhav Sinha,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2005,wiki/Fareb_(2005_film),Fareb,Deepak Tijori,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2005,wiki/Jo_Bole_So_Nihaal_(film),Jo Bole So Nihaal,Rahul Rawail,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2005,wiki/Netaji_Subhas_Chandra_Bose:_The_Forgotten_Hero,Netaji,Shyam Benegal,wiki/Hindi,Hindi,Assistant Sound Mix Engineer
2005,wiki/XXX:_State_of_the_Union,XXX: State of the Union,Lee Tamahori,wiki/Hindi,Hindi,Version Re-Recording Mixer
2005,wiki/My_Brother%E2%80%A6Nikhil,My Brother…Nikhil,Onir,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2005,wiki/Zeher,Zeher,Mohit Suri,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2005,wiki/Tango_Charlie,Tango Charlie,Mani Shankar,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2005,wiki/Karam_(film),Karam,Sanjay F Gupta,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2005,wiki/Zameer:_The_Fire_Within,Zameer: The Fire Within,Kamal,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2005,wiki/Rog,Rog,Himanshu Brahmbhatt,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,"wiki/Charas:_A_Joint_Operation"" class=""mw-redirect",Charas: A Joint Operation,Tigmanshu Dhulia,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Dil_Bechara_Pyaar_Ka_Maara,Dil Bechara Pyaar Ka Maara,Onkar Nath Mishra,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Dil_Maange_More,Dil Maange More,Anant Mahadevan,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Swades,Swades,Ashutosh Gowariker,wiki/Hindi,Hindi,Assistant Sound Mix Engineer
2004,wiki/American_Daylight,American Daylight,Roger Christian,wiki/Hindi,Hindi,Re-Recording Mixer
2004,Let's Enjoy,Ankur Tewari & Siddharth Anand Kumar,wiki/Hindi,Hindi,Re-Recording Mixer
2004,wiki/Popcorn_Khao!_Mast_Ho_Jao,Popcorn Khao! Mast Ho Jao,Kabir Sadanand,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Kyun!_Ho_Gaya_Na...,Kyun! Ho Gaya Na...,Samir Karnik,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Raincoat_(film),Raincoat,Rituparno Ghosh,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Dev_(2004_film),Dev,Govind Nihalani,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,wiki/English_language,English,Version Re-Recording Mixer
2004,wiki/Saatchya_Aat_Gharat,Saatchya Aat Gharat,Sanjay Surkar,wiki/Marathi_language,Marathi,Re-Recording Mixer
2004,wiki/Run_(2004_film),Run,Jeeva,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Shaadi_Ka_Laddoo,Shaadi Ka Laddoo,Raj Kaushal,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Hellboy_(2004_film),Hellboy,Guillermo del Toro,wiki/English_language,English,Version Re-Recording Mixer
2004,wiki/Khakee,Khakee,Rajkumar Santoshi,wiki/Hindi,Hindi,Re-Recording Mixer
2004,wiki/Ek_Hasina_Thi_(film),Ek Hasina Thi,Sriram Raghavan,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2004,wiki/Aga_Bai_Arrecha!,Aga Bai Arrecha!,Kedar Shinde,wiki/Marathi_language,Marathi,Re-Recording Mixer
2004,wiki/Pachhadlela,Pachhadlela,Sajid Sheikh & Mahesh Kothare,wiki/Marathi_language,Marathi,Re-Recording Mixer
2003,wiki/Chameli_(film),Chameli,Sudhir Mishra & Anant Balani,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2003,wiki/Paap,Paap,Pooja Bhatt,wiki/Hindi,Hindi,Associate Re-Recording Mixer
2003,wiki/Tehzeeb_(2003_film),Tehzeeb,Khalid Mohammed,wiki/Hindi,Hindi,Associate Re-Recording Mixer
